Temprature, Altitude, Pressure, Temprature2, RH%, Phai, Theta, Psi, accel_x, accel_y, accel_z, ID, Alt, LONG, Latitude
Temprature, Altitude, Pressure, Temprature2, RH%, Phai, Theta, Psi, accel_x, accel_y, accel_z, ID, Alt, LONG, Latitude
Temprature, Altitude, Pressure, Temprature2, RH%, Phai, Theta, Psi, accel_x, accel_y, accel_z, ID, Alt, LONG, Latitude
Temprature, Altitude, Pressure, Temprature2, RH%, Phai, Theta, Psi, accel_x, accel_y, accel_z, ID, Alt, LONG, Latitude
34, 44330, 101295, 27, 80, 0, 0, 0, 0, 0, 0, , 0, 0, 0
34, 44330, 101295, 27, 80, 0, 0, 0, 0, 0, 0, , 0, 0, 0
Temprature, Altitude, Pressure, Temprature2, RH%, Phai, Theta, Psi, accel_x, accel_y, accel_z, ID, Alt, LONG, Latitude
34, 44330, 101295, 27, 80, 33, 28, 0, 1, 0, 0, , 0, 0, 0
34, 44330, 101295, 27, 80, 33, 28, 0, 1, 0, 0, , 0, 0, 0
34, 44330, 101295, 27, 80, 33, 28, 0, 1, 0, 0, , 0, 0, 0
34, 44330, 101295, 27, 80, 33, 28, 0, 1, 0, 0, , 0, 0, 0
34, 44330, 101295, 27, 80, 33, 28, 0, 1, 0, 0, , 0, 0, 0
34, 44330, 101295, 27, 80, 33, 28, 0, 1, 0, 0, , 0, 0, 0
34, 44330, 101295, 27, 80, 33, 28, 0, 1, 0, 0, , 0, 0, 0
34, 44330, 101295, 27, 80, 33, 28, 0, 1, 0, 0, , 0, 0, 0
34, 44330, 101295, 27, 80, 33, 28, 0, 1, 0, 0, , 0, 0, 0
34, 44330, 101295, 27, 80, 33, 28, 0, 1, 0, 0, , 0, 0, 0
34, 44330, 101295, 27, 80, 33, 28, 0, 1, 0, 0, , 0, 0, 0
34, 44330, 101295, 27, 80, 33, 28, 0, 1, 0, 0, , 0, 0, 0
34, 44330, 101295, 27, 80, 33, 28, 0, 1, 0, 0, , 0, 0, 0
34, 44330, 101295, 27, 80, 33, 28, 0, 1, 0, 0, , 0, 0, 0
34, 44330, 101295, 27, 80, 33, 28, 0, 1, 0, 0, , 0, 0, 0
34, 44330, 101295, 27, 80, 33, 28, 0, 1, 0, 0, , 0, 0, 0
34, 44330, 101295, 27, 80, 33, 28, 0, 1, 0, 0, , 0, 0, 0
34, 44330, 101295, 27, 80, 33, 28, 0, 1, 0, 0, , 0, 0, 0
Temprature, Altitude, Pressure, Temprature2, RH%, Phai, Theta, Psi, accel_x, accel_y, accel_z, ID, Alt, LONG, Latitude
34, 44330, 101295, 27, 80, 33, 28, 0, 1, 0, 0, , 0, 0, 0
34, 44330, 101295, 27, 80, 33, 28, 0, 1, 0, 0, , 0, 0, 0
34, 44330, 101295, 27, 80, 33, 28, 0, 1, 0, 0, , 0, 0, 0
34, 44330, 101295, 27, 80, 33, 28, 0, 1, 0, 0, , 0, 0, 0
34, 44330, 101295, 27, 80, 33, 28, 0, 1, 0, 0, , 0, 0, 0
34, 44330, 101295, 27, 80, 33, 28, 0, 1, 0, 0, , 0, 0, 0
34, 44330, 101295, 27, 80, 33, 28, 0, 1, 0, 0, , 0, 0, 0
34, 44330, 101295, 27, 80, 33, 28, 0, 1, 0, 0, , 0, 0, 0
34, 44330, 101295, 27, 80, 33, 28, 0, 1, 0, 0, , 0, 0, 0
34, 44330, 101295, 27, 80, 33, 28, 0, 1, 0, 0, , 0, 0, 0
Temprature, Altitude, Pressure, Temprature2, RH%, Phai, Theta, Psi, accel_x, accel_y, accel_z, ID, Alt, LONG, Latitude
34, 44330, 101295, 27, 80, 33, 28, 0, 1, 0, 0, , 0, 0, 0
34, 44330, 101295, 27, 80, 33, 28, 0, 1, 0, 0, , 0, 0, 0
34, 44330, 101295, 27, 80, 33, 28, 0, 1, 0, 0, , 0, 0, 0
34, 44330, 101295, 27, 80, 33, 28, 0, 1, 0, 0, , 0, 0, 0
34, 44330, 101295, 27, 80, 33, 28, 0, 1, 0, 0, , 0, 0, 0
34, 44330, 101295, 27, 80, 33, 28, 0, 1, 0, 0, , 0, 0, 0
34, 44330, 101295, 27, 80, 33, 28, 0, 1, 0, 0, , 0, 0, 0
Temprature, Altitude, Pressure, Temprature2, RH%, Phai, Theta, Psi, accel_x, accel_y, accel_z, ID, Alt, LONG, Latitude
34, 44330, 101295, 27, 80, 33, 28, 0, 1, 0, 0, GPGGA, 211, 5, 3014
34, 44330, 101295, 27, 80, 33, 28, 0, 1, 0, 0, GPGGA, 211, 5, 3014
34, 44330, 101295, 27, 80, 33, 28, 0, 1, 0, 0, GPGGA, 211, 5, 3014
34, 44330, 101295, 27, 80, 33, 28, 0, 1, 0, 0, GPGGA, 211, 5, 3014
34, 44330, 101295, 27, 80, 33, 28, 0, 1, 0, 0, GPGGA, 211, 5, 3014
34, 44330, 101295, 27, 80, 33, 28, 0, 1, 0, 0, GPGGA, 211, 5, 3014
34, 44330, 101295, 27, 80, 33, 28, 0, 1, 0, 0, GPGGA, 211, 5, 3014
34, 44330, 101295, 27, 80, 33, 28, 0, 1, 0, 0, GPGGA, 211, 5, 3014
34, 44330, 101295, 27, 80, 33, 28, 0, 1, 0, 0, GPGGA, 211, 5, 3014
34, 44330, 101295, 27, 80, 33, 28, 0, 1, 0, 0, GPGGA, 211, 5, 3014
34, 44330, 101295, 27, 80, 33, 28, 0, 1, 0, 0, GPGGA, 211, 5, 3014
34, 44330, 101295, 27, 80, 33, 28, 0, 1, 0, 0, GPGGA, 211, 5, 3014
34, 44330, 101295, 27, 80, 33, 28, 0, 1, 0, 0, GPGGA, 211, 5, 3014
34, 44330, 101295, 27, 80, 33, 28, 0, 1, 0, 0, GPGGA, 211, 5, 3014
34, 44330, 101295, 27, 80, 33, 28, 0, 1, 0, 0, GPGGA, 211, 5, 3014
34, 44330, 101295, 27, 80, 33, 28, 0, 1, 0, 0, GPGGA, 211, 5, 3014
34, 44330, 101295, 27, 80, 33, 28, 0, 1, 0, 0, GPGGA, 211, 5, 3014
